Ligand,Score
CHEMBL460291_preprocessed_conf0_out.sdf,-4.555
CHEMBL15677_preprocessed_conf9_out.sdf,-4.181
CHEMBL473159_preprocessed_conf1_out.sdf,-2.683
CHEMBL1201347_preprocessed_conf3_out.sdf,-3.935
CHEMBL1401_preprocessed_conf9_out.sdf,-3.226
CHEMBL278398_preprocessed_conf8_out.sdf,-4.671
CHEMBL3989567_preprocessed_conf0_out.sdf,-3.842
CHEMBL45816_preprocessed_conf2_out.sdf,-3.222
CHEMBL542541_preprocessed_conf0_out.sdf,-3.881
CHEMBL2062264_preprocessed_conf9_out.sdf,-3.266
CHEMBL1201262_preprocessed_conf2_out.sdf,-3.615
CHEMBL361506_preprocessed_conf6_out.sdf,-3.629
CHEMBL484785_preprocessed_conf1_out.sdf,-4.922
CHEMBL6466_preprocessed_conf7_out.sdf,-3.867
CHEMBL1364551_preprocessed_conf1_out.sdf,-4.079
CHEMBL1319362_preprocessed_conf5_out.sdf,-4.412
CHEMBL923_preprocessed_conf5_out.sdf,-3.02
CHEMBL3707393_preprocessed_conf5_out.sdf,-4.676
CHEMBL4297534_preprocessed_conf8_out.sdf,-3.635
CHEMBL1095097_preprocessed_conf2_out.sdf,-3.367
CHEMBL1589_preprocessed_conf4_out.sdf,-3.695
CHEMBL1201273_preprocessed_conf3_out.sdf,-4.257
CHEMBL741_preprocessed_conf6_out.sdf,-4.133
CHEMBL107_preprocessed_conf2_out.sdf,-4.171
CHEMBL608533_preprocessed_conf5_out.sdf,-4.095
CHEMBL516_preprocessed_conf5_out.sdf,-6.279
CHEMBL1200927_preprocessed_conf6_out.sdf,-4.793
CHEMBL1420_preprocessed_conf3_out.sdf,-3.263
CHEMBL1200733_preprocessed_conf6_out.sdf,-3.196
CHEMBL583_preprocessed_conf8_out.sdf,-3.676
CHEMBL3989885_preprocessed_conf0_out.sdf,-4.792
CHEMBL900_preprocessed_conf4_out.sdf,-4.329
CHEMBL2110848_preprocessed_conf2_out.sdf,-4.662
CHEMBL1201178_preprocessed_conf4_out.sdf,-4.019
CHEMBL304902_preprocessed_conf9_out.sdf,-4.627
CHEMBL98123_preprocessed_conf5_out.sdf,-4.137
CHEMBL1213351_preprocessed_conf8_out.sdf,-3.774
CHEMBL4298138_preprocessed_conf4_out.sdf,-3.974
CHEMBL1200334_preprocessed_conf0_out.sdf,-3.474
CHEMBL1110_preprocessed_conf7_out.sdf,-3.916
CHEMBL282042_preprocessed_conf3_out.sdf,0.015
CHEMBL1276308_preprocessed_conf4_out.sdf,-4.67
CHEMBL3989962_preprocessed_conf0_out.sdf,-4.239
CHEMBL2111187_preprocessed_conf3_out.sdf,-1.501
CHEMBL3989406_preprocessed_conf7_out.sdf,-3.548
CHEMBL1134_preprocessed_conf8_out.sdf,-2.879
CHEMBL1670_preprocessed_conf7_out.sdf,-4.197
CHEMBL942_preprocessed_conf5_out.sdf,-4.547
CHEMBL788_preprocessed_conf4_out.sdf,-3.111
CHEMBL554_preprocessed_conf1_out.sdf,-3.236
CHEMBL3137317_preprocessed_conf8_out.sdf,-3.211
CHEMBL1201075_preprocessed_conf4_out.sdf,-2.544
CHEMBL4297334_preprocessed_conf8_out.sdf,-4.175
CHEMBL1200916_preprocessed_conf9_out.sdf,-3.774
CHEMBL325041_preprocessed_conf3_out.sdf,-4.001
CHEMBL2107004_preprocessed_conf2_out.sdf,-4.295
CHEMBL452231_preprocessed_conf5_out.sdf,-2.111
CHEMBL1029_preprocessed_conf7_out.sdf,-2.968
CHEMBL3039567_preprocessed_conf9_out.sdf,-2.256
CHEMBL76370_preprocessed_conf2_out.sdf,-3.719
